method,n,iteration,absolute_residual,relative_residual
"Two-level-control(Jacobi-8)",16,18,1.2593306463876564E-05,9.65652116125585E-07
"Two-level-control(Jacobi-8)",16,19,4.818776048238291E-06,3.695027434982464E-07
"Two-level-control(Jacobi-8)",16,20,2.261516857291302E-06,1.7341264148230563E-07
"Two-level-control(Jacobi-8)",16,21,1.0652380442263288E-06,8.168223131353762E-08
"Two-level-control(Jacobi-8)",16,22,4.574394753599658E-07,3.50763636736553E-08
"Two-level-control(Jacobi-8)",16,23,2.1261401468138096E-07,1.6303198352550165E-08
"Two-level-control(Jacobi-8)",16,24,8.28640782346749E-08,6.354000256218505E-09
"CG",32,0,35.521437906935816,1
"CG",32,1,109.48150846212263,3.0821249057810687
"CG",32,2,71.55217709731082,2.014337856614181
"CG",32,3,52.967595139227996,1.4911444541744097
"CG",32,4,41.54166380959952,1.1694814809703469
"CG",32,5,33.62764572900017,0.9466859370136628
"CG",32,6,29.42850741526094,0.8284717384572658
"CG",32,7,30.81897129137408,0.8676160962886149
"CG",32,8,22.43065036406155,0.6314679721814359
"CG",32,9,21.440915919905137,0.6036049547340718
"CG",32,10,17.40139142441486,0.48988420654607323
"CG",32,11,15.1528604766665,0.4265835329179564
"CG",32,12,13.922287595787687,0.39194042854524364
"CG",32,13,13.16775398965372,0.3706987882684395
"CG",32,14,9.568891769820134,0.2693835704199277
"CG",32,15,9.046539381624957,0.2546782989282806
"CG",32,16,7.214996116540834,0.20311666817778382
"CG",32,17,5.8858748835744334,0.16569922926529881
"CG",32,18,4.649633521397672,0.1308965457304812
"CG",32,19,3.5703677647094016,0.10051304156277586
"CG",32,20,2.5431762141777243,0.07159553115053237
"CG",32,21,1.589512976635082,0.044747990799232765
"CG",32,22,0.9472694750201736,0.026667543062360445
"CG",32,23,0.4423432431746715,0.012452852959769988
"CG",32,24,0.22222803323424148,0.006256166594845246
"CG",32,25,0.159756260022229,0.004497460391124411
"CG",32,26,0.20002070006524303,0.005630985451357181
"CG",32,27,0.2610152314688936,0.007348104323725266
"CG",32,28,0.16327405857933192,0.004596493503644217
"CG",32,29,0.07321627503063263,0.0020611855641220153
